GCC rdouble -O2,double,,dbl gflops,Gflops,Delta %
5473716.326,5483702.702,,5.48,5.47,0.18
5476611.011,5470948.784,,5.47,5.48,-0.1
5519188.487,5484050.755,,5.48,5.52,-0.64
5508799.96,5472945.271,,5.47,5.51,-0.66
5489361.443,5217903.373,,5.22,5.49,-5.2
,,,,,
GCC rdouble -O3,double,,,,
6044641.21,9356056.749,,9.36,6.04,35.39
6052610.577,9378360.376,,9.38,6.05,35.46
6044672.768,9383646.79,,9.38,6.04,35.58
6126846.095,9376040.188,,9.38,6.13,34.65
6095643.237,9389799.599,,9.39,6.1,35.08
,,,,,
GCC -O2,GCC -O3,,,,
5473716.326,6044641.21,,6.04,5.47,9.45
5476611.011,6052610.577,,6.05,5.48,9.52
5519188.487,6044672.768,,6.04,5.52,8.69
5508799.96,6126846.095,,6.13,5.51,10.09
5489361.443,6095643.237,,6.1,5.49,9.95
,,,,,
Clang -O3,Clang -O3 dbl,,,,
4069001.599,7800706.271,,7.8,4.07,47.84
4063278.153,7805313.012,,7.81,4.06,47.94
4038436.798,7799526.537,,7.8,4.04,48.22
3979025.336,7797693.272,,7.8,3.98,48.97
,,,,,
Clang -O2,Clang -O2 dbl,,,,
4246797.364,7689709.619,,7.69,4.25,44.77
4252181.42,7705887.534,,7.71,4.25,44.82
4238104.442,7679259.128,,7.68,4.24,44.81
4243923.376,7704151.846,,7.7,4.24,44.91
,,,,,
Clang limit-stores,,,,,
6239371.142,7689709.619,,7.69,6.24,18.86
6212050.893,7705887.534,,7.71,6.21,19.39
6247552.445,7679259.128,,7.68,6.25,18.64
6184880.474,7704151.846,,7.7,6.18,19.72
,,,,,
Clang no-stores,,,,,
7264972.389,7689709.619,,7.69,7.26,5.52
7263340.769,7705887.534,,7.71,7.26,5.74
7314541.403,7679259.128,,7.68,7.31,4.75
7292008.374,7704151.846,,7.7,7.29,5.35
